tempo_s,lado,amplitude
0.50,E,-0.523766853
0.50,D,-0.328068982
1.57,D,-0.590526522
1.57,E,-0.533380164
2.30,D,-0.653578786
2.50,E,-0.628166252
4.27,E,-0.571839082
4.67,E,-0.261282418
4.67,D,-0.243884766
5.73,D,-0.452578096
5.93,E,-0.648695532
6.47,D,-0.416256725
6.47,E,-0.377435049
7.10,E,-0.634445681
7.13,D,-0.624091718
7.57,D,-0.573273717
8.03,E,-0.659752028
9.30,E,-0.698988263
11.63,D,-0.469463211
12.17,E,-0.492145637
12.80,D,-0.500842055
13.33,E,-0.434832684
13.93,D,-0.493061488
14.57,E,-0.447996988
15.17,D,-0.470084929
15.80,E,-0.420300575
16.40,D,-0.479552369
17.17,E,-0.408961806
17.93,D,-0.479027093
18.67,E,-0.418995687
19.40,D,-0.443784891
20.07,E,-0.374880968
20.67,D,-0.449372139
21.27,E,-0.350649474
21.90,D,-0.4446384
22.50,E,-0.373248437
23.10,D,-0.473162644
23.73,E,-0.394163254
24.27,D,-0.463806492
24.80,E,-0.419072565
25.33,D,-0.517064327
25.90,E,-0.524652649
26.33,D,-0.513387139
26.80,E,-0.474377364
27.20,E,-0.710126731
27.30,D,-0.519650679
27.83,E,-0.458704323
28.27,E,-0.695625417
28.40,D,-0.519778449
28.70,E,-0.695167788
28.83,D,-0.713507473
29.10,E,-0.584229607
29.90,D,-0.597674263
30.70,E,-0.688268018
31.43,E,-0.713154344
31.87,D,-0.514266789
32.63,E,-0.451703665
33.23,D,-0.329794999
34.00,E,-0.310391352
34.53,E,-0.722575341
34.80,D,-0.352730727
35.50,E,-0.327125849
36.20,D,-0.427660848
36.83,E,-0.354833181
37.37,D,-0.414314494
37.97,E,-0.329539822
38.53,D,-0.418729505
39.10,E,-0.356918999
39.70,D,-0.4146061
40.23,E,-0.363400252
40.80,D,-0.408341649
41.40,E,-0.339068601
41.83,D,-0.717586205
42.23,E,-0.535100012
43.23,E,-0.342567532
43.23,D,-0.383429638
44.27,D,-0.055917365
44.37,E,-0.089028944
44.80,E,-0.197970379
44.80,D,-0.206417439
